subMarauderBouncingGrenade01|Pressurized Bombs|Бомбы под давлением
subMarauderBouncingGrenade02|Strong Lats|Мощный замах
subMarauderBouncingGrenade03|Nitroglycerine Solution|Нитроглицериновая смесь
subMarauderBouncingGrenade04|Elastic Cover|Упругая оболочка
subMarauderBouncingGrenade05|Ace Up Your Sleeve|Туз в рукаве
subMarauderBouncingGrenade06|Big Boy Bombs|Тяжелые бомбы
subMarauderBouncingGrenade07|Heavy Weight|Утяжелитель
subMarauderBouncingGrenade08|Rubber Coated Shell|Прорезиненный корпус
subMarauderBouncingGrenade09|Sharp Shrapnels|Острые осколки
subMarauderBouncingGrenade10|Flammable Charge|Зажигательный заряд
subMarauderBouncingGrenade11|Resetting Fuse|Обновляемый запал
subMarauderBouncingGrenade12|Blazing Rebound|Пылающий рикошет
subMarauderBouncingGrenade13|Fiery Charge|Огненный заряд
subMarauderBouncingGrenade14|Coast to Coast|От края до края
subDescMarauderBouncingGrenade01|Increases area of effect radius of bouncing grenade.|Увеличивает радиус взрыва «Скачущей гранаты».
subDescMarauderBouncingGrenade02|Increased the projecile speed of bouncing grenade.|Увеличивает скорость полета «Скачущей гранаты».
subDescMarauderBouncingGrenade03|Increases the damage dealt by bouncing grenade.|Увеличивает урон «Скачущей гранаты».
subDescMarauderBouncingGrenade04|Increases the amount of bounces for bouncing grenade.|Увеличивает количество отскоков «Скачущей гранаты».
subDescMarauderBouncingGrenade05|Chance on cast to unleash an additional bouncing grenade.|Дает шанс при броске выпустить дополнительную «Скачущую гранату».
subDescMarauderBouncingGrenade06|Increases the size of bouncing grenade.|Увеличивает размер «Скачущей гранаты».
subDescMarauderBouncingGrenade07|Decreases the distance between bounces.|Уменьшает дистанцию между отскоками.
subDescMarauderBouncingGrenade08|Chance for bouncing grenades to bounce off of terrain.|Дает шанс «Скачущим гранатам» рикошетить от препятствий.
subDescMarauderBouncingGrenade09|Chance to inflict fire break on hit.|Дает шанс вызвать игнорирование сопр. огню при попадании.
subDescMarauderBouncingGrenade10|Chance to inflict burning on hit.|Дает шанс наложить горение при попадании.
subDescMarauderBouncingGrenade11|Bouncing from terrain resets the duration of bouncing grenade.|Отскок от препятствия обновляет время действия «Скачущей гранаты».
subDescMarauderBouncingGrenade12|Hitting a monster causes bouncing grenade to bounce towards another nearby monster increasing its damage.|При попадании в монстра граната отскакивает к другой ближайшей цели, нанося увеличенный урон.
subDescMarauderBouncingGrenade13|Each bounce increases the size of the molten trail. Unleash flames on a large radius inflicting burning after exploding.|Каждый отскок расширяет оставляемый огненный след. Взрыв вызывает вспышку пламени в большом радиусе, накладывая горение.
subDescMarauderBouncingGrenade14|Throw multiple bouncing grenades in an arc.|Вы бросаете сразу несколько «Скачущих гранат» по дуге.
||
subMarauderHeavyBall01|The Bigger the Better|Чем больше, тем лучше
subMarauderHeavyBall02|Log Sized Arms|Руки-бревна
subMarauderHeavyBall03|Surprise Bombing|Внезапный подрыв
subMarauderHeavyBall04|Fire Frenzy|Огненное безумие
subMarauderHeavyBall05|Multi Wield|Мастер цепей
subMarauderHeavyBall06|Machine Drilled Spikes|Механические шипы
subMarauderHeavyBall07|Gladiator's Strength|Сила гладиатора
subMarauderHeavyBall08|Precision and Power|Точность и мощь
subMarauderHeavyBall09|Full Body Training|Закалка тела
subMarauderHeavyBall10|Critical Mass|Критическая масса
subMarauderHeavyBall11|Heavy Swing|Тяжелый замах
subMarauderHeavyBall12|Sharpened Spikes|Острые шипы
subMarauderHeavyBall13|Warlord Lee's Apprentice|Ученик полководца Ли
subMarauderHeavyBall14|Terrain Collision|Сокрушительное столкновение
subDescMarauderHeavyBall01|Increases the size of heavy ball.|Увеличивает размер «Тяжелого ядра».
subDescMarauderHeavyBall02|Increased projectile speed for heavy ball.|Увеличивает скорость полета «Тяжелого ядра».
subDescMarauderHeavyBall03|Chance to unleash a big bo-om on hit.|Дает шанс вызвать «Большой бу-ум» при попадании.
subDescMarauderHeavyBall04|Chance to unleash burning flames below the target on hit.|Дает шанс создать пламя под целью при попадании.
subDescMarauderHeavyBall05|Increases the amount of heavy balls.|Увеличивает количество «Тяжелых ядер».
subDescMarauderHeavyBall06|Chance to inflict bleeding on hit.|Дает шанс вызвать кровотечение при попадании.
subDescMarauderHeavyBall07|Increases the range of heavy ball.|Увеличивает дальность полета «Тяжелого ядра».
subDescMarauderHeavyBall08|Increases the attack rating and damage dealt by heavy ball.|Увеличивает рейтинг атаки и урон «Тяжелого ядра».
subDescMarauderHeavyBall09|Decreased movement diminish when using heavy ball.|Уменьшает штраф к скорости передвижения при использовании «Тяжелого ядра».
subDescMarauderHeavyBall10|Increases the critical strike chance of heavy ball.|Увеличивает шанс критического удара «Тяжелого ядра».
subDescMarauderHeavyBall11|Swing the heavy ball around you dealing increased damage and critical strike damage.|Вы раскручиваете ядро вокруг себя, нанося увеличенный урон и критический урон.
subDescMarauderHeavyBall12|Unleash multiple smaller heavy balls dealing a portion of the damage dealing increased damage to bleeding targets.|Выпускает несколько малых ядер, наносящих часть урона; урон по истекающим кровью целям увеличен.
subDescMarauderHeavyBall13|Summon multiple heavy balls permanently dragging them behind you. When attacking or casting unleash the heavy balls towards a nearby enemy. Using this skill again will destroy the heavy balls.|Вы призываете несколько ядер, которые следуют за вами. При атаке или касте они летят в сторону ближайшего врага. Повторное использование умения уничтожит ядра.
subDescMarauderHeavyBall14|Hitting terrain or monsters with heavy ball unleashes fiery shockwaves into all directions inflicting burning on hit.|При столкновении с целью или препятствием ядро выпускает огненные ударные волны во все стороны, накладывая горение.
||
subMarauderTheBigBoom01|Boomage|Бу-бух
subMarauderTheBigBoom02|Even Bigger Bo-oM!|Бу-бух еще мощнее!
subMarauderTheBigBoom03|Leg Day|День ног
subMarauderTheBigBoom04|Wider Armory|Обширный арсенал
subMarauderTheBigBoom05|Double Charges!|Двойной заряд!
subMarauderTheBigBoom06|Pyro Enthusiast|Энтузиаст-пироман
subMarauderTheBigBoom07|Swift Bo-ombing|Скоростной подрыв
subMarauderTheBigBoom08|Burn the Arena|Арена в огне
subMarauderTheBigBoom09|More Heat!|Больше жара!
subMarauderTheBigBoom10|Rollin' Rollin' Rollin'|Катись-катись!
subMarauderTheBigBoom11|Bouncing Boom|Прыгучий взрыв
subMarauderTheBigBoom12|Crashboom|Мощный бабах
subMarauderTheBigBoom13|Scattering Boom|Рассеивающийся взрыв
subMarauderTheBigBoom14|Molten Boom|Раскаленный взрыв
subDescMarauderTheBigBoom01|Increases the damage dealt by big bo-om.|Увеличивает урон «Большого бу-ума».
subDescMarauderTheBigBoom02|Increases the area of effect radius of big bo-om.|Увеличивает радиус взрыва «Большого бу-ума».
subDescMarauderTheBigBoom03|Decreases movement diminish when using big bo-om.|Уменьшает штраф к скорости передвижения при использовании «Большого бу-ума».
subDescMarauderTheBigBoom04|Decreases the mana cost of big bo-om.|Снижает затраты маны на «Большой бу-ум».
subDescMarauderTheBigBoom05|Big bo-om bounces once when hitting the ground dealing increased damage.|«Большой бу-ум» один раз отскакивает от земли, нанося увеличенный урон.
subDescMarauderTheBigBoom06|Chance to inflict fire break on hit.|Дает шанс вызвать игнорирование сопр. огню при попадании.
subDescMarauderTheBigBoom07|Increased projectile speed for the big bo-om.|Увеличивает скорость полета «Большого бу-ума».
subDescMarauderTheBigBoom08|Chance to inflict burning on hit.|Дает шанс наложить горение при попадании.
subDescMarauderTheBigBoom09|Increases damage dealt to burning targets.|Увеличивает урон по горящим целям.
subDescMarauderTheBigBoom10|Big bo-om rolls on the ground leaving behind a trail of burning flames.|«Большой бу-ум» катится по земле, оставляя за собой пылающий след.
subDescMarauderTheBigBoom11|Unleash additional bombs traveling forward in an arc after exploding.|После взрыва выпускает дополнительные бомбы, летящие вперед по дуге.
subDescMarauderTheBigBoom12|Throw big bo-om high into the air scattering additional bombs into all directions.|Вы подбрасываете бомбу высоко вверх; при взрыве она разбрасывает малые бомбы во все стороны.
subDescMarauderTheBigBoom13|Hitting a monster with big bo-om unleashes an explosion and causes it to ricochet towards another nearby monster with increased damage and area of effect radius. Big bo-om now has a cooldown.|При попадании в монстра бомба взрывается и рикошетит в следующую цель, нанося повышенный урон в большем радиусе. У умения теперь есть время восстановления.
