[Item Stats]|en|ru
stat_base_damage|Attack Damage|Урон от атаки
stat_defense|Defense|Защита
stat_defense_p|Increased Defense|Повышенная защита
stat_block_chance|Block Chance|Шанс блока
stat_all_skills|to All Skills|ко всем навыкам
stat_increased_speed|Increased Movement Speed|Увеличение скорости движения
stat_summon_movement_speed|Increased Summon Movement Speed|Увеличенная скорость движения призыва 
stat_faster_cast_rate|Faster Cast Rate|Скорость каста
stat_faster_cast_rate_t|Total Faster Cast Rate|Общая скорость каста
stat_attack_speed_p|Increased Attack Speed|Увеличение скорости атаки
stat_attack_speed_t|Total Attack Speed|Общая скорость атаки
stat_movement_speed_t|Increased Total Movement Speed|Увеличена общая скорость передвижения
stat_summon_attack_speed|Increased Summon Attack Speed| Повышенная скорость атаки прислужников
stat_summon_skills|to Summon Skills| к умениям призыва
stat_summon_damage|Summon Damage Increased by| урон прислужников увеличен на
stat_projectileSpeed|to Projectile Speed| к скорости снаряда
stat_attack_range|Attack Range Increased by| Дальность атаки увеличена на
stat_cooldown_reduction|Skill Haste Increased by| Скорость восстановления умений увеличена на
stat_cooldown_reduction_belt|Flask Skill Haste Increased by| Скорость восстановления зелья увеличена на
stat_to|to| к
stat_double_jump|Double Jump|Двойной прыжок
stat_skill_damage|Magic Skill Damage increased by|Урон от магических навыков увеличен на
stat_explosion_aoe|Explosion area of effect increased by|Область действия взрыва увеличена на
stat_block_rating|Increased Chance of Blocking| Повышенный шанс блока
stat_enhanced_damage|Enhanced Damage| Повышенный урон
stat_enhanced_defense|Enhanced Defense| Улучшенная защита
stat_critical_rate|Increased Critical Strike Chance| Увеличенный шанс критического удара
stat_deadly_blow|Chance for a Deadly Blow| Шанс нанести смертельный удар
stat_deadly_blow_p|Deadly Blow Damage increased by|Урон смертельного удара увеличен на
stat_crushing_blow|Chance for a Crushing Blow| Шанс сокрушительного удара
stat_crushing_blow_p|Crushing Blow Armor Break increased by|Пробивание брони сокрушительным ударом увеличено на
stat_attack_rating_p|Increased Attack Rating| Повышенный рейтинг атаки
