[main_menu]|en|ru
local_play|Play local|Играть локально
multiplayer|Play online|Играть онлайн
options|Options|Настройки
version|version|версия
ns_controller_continue|Connect a controller to continue.|Подключите контроллер, чтобы продолжить.
ns_controller_one_dc|Controller 1 disconnected.|Контроллер 1 отключен.
ns_controller_two_dc|Controller 2 disconnected.|Контроллер 2 отключен.
ns_controller_both_dc|Controller 1 and 2 disconnected.|Контроллеры 1 и 2 отключены.
ns_controller_connect|Connect a controller and press Confirm|Подключите контроллер и нажмите «Подтвердить»
ns_controller_sp_mode|or continue in singleplayer mode.|или продолжите в одиночном режиме.
ns_controller_confirm|Press Confirm to continue.|Нажмите «Подтвердить», чтобы продолжить.
ns_controller_singleplayer|Singleplayer|Одиночная игра
ns_controller_multi|Multiple controllers detected.|Обнаружено несколько контроллеров.
ns_controller_config1|You can configure controllers|Вы можете настроить контроллеры
ns_controller_config2|or continue with current setup.|или продолжить с текущими настройками.
configure|Configure|Настроить
ns_store_connecting|Connecting to the Nintendo eShop.|Подключение к Nintendo eShop...
ns_store_unavailable|The item you tried to access is not available.|Объект, который вы ищете, недоступен.
ns_store_error|Error loading Nintendo eShop.|Ошибка загрузки Nintendo eShop.
ns_store_account_error|The current user account cannot access this feature.|Эта функция недоступна для текущей учетной записи.
ns_store_timeout|Connecting to the Nintendo eShop took too long.|Время ожидания подключения к Nintendo eShop истекло.
ns_store_warning|Connecting to the Nintendo eShop will disconnect you from the current game.|Переход в Nintendo eShop прервет текущую игровую сессию.
ns_eshop|Nintendo eShop|Nintendo eShop
try_again_later|Try again later.|Попробуйте позже.
try_again_account|Try again with another account.|Попробуйте использовать другую учетную запись.
connection_lost|Connection to the network was lost.|Соединение с сетью потеряно.
controller|Controller|Контроллер
connected|connected|подключен
prompt_exit|Are you sure you want to exit?|Вы уверены, что хотите выйти?
controller_connected|Connected|Подключено
controller_disconnected|Disconnected|Отключено
controller_press|Press|Нажмите
controller_quit|to quit.|чтобы выйти.
controllers|Controllers|Контроллеры
steam_cloud|STEAM Cloud|Облако Steam
steam_cloud_data|Current Cloud data|Текущие данные в облаке
save|Save|Сохранить
load|Load|Загрузить
account_id|Account ID|ID аккаунта
unranked|Unranked|Без рейтинга
caps_lock_enabled|Caps Lock Enabled|Caps Lock включен
profile_private|This profile is hidden|Этот профиль скрыт
profile_text_blocked|You have blocked this user from interactions and social features.|Вы заблокировали этого игрока и его социальные функции.
profile_text_edit|New profile text:|Новый текст профиля:
blocked_players|Blocked players|Заблокированные игроки
disable_pas_proxy|Disable PAS Proxy|Отключить PAS Proxy
email_not_verified|Email is not verified!|Эл. почта не подтверждена!
sign_in_failed|Sign in failed. Try again.|Ошибка входа. Попробуйте еще раз.
invalid_name|That name is unavailable. Please try again.|Это имя недоступно. Попробуйте другое.
show_exp_gain|Show Experience Gain|Показывать получение опыта
loading_critical_error|Character slot loading failed.|Ошибка загрузки ячейки персонажа.
retired|Retired|Устаревшие
location|Location|Расположение
location|Location|Локация
character_skins|Character Skins|Скины персонажей
login_remember_info|Remember login info (username and temporary password) on this device for 30 days|Запомнить данные для входа (имя пользователя и временный пароль) на этом устройстве на 30 дней
link_main_account|Link Main Account|Связать основной аккаунт
account_settings|Account Settings|Настройки аккаунта
