[npc]|en|ru
||
wooden_sign|Wooden Sign|Деревянная табличка
||
wooden_sign|Wooden Sign|Деревянный знак
||
tutorial_0001|You can open the Stat & Skill screen by pressing ”[input_talents]” to assign Attribute and Skill Points. You also have 12 additional skill binds on top of the left and right click. [tutorial_bind_skill] You can also change these binds from the options! Good luck hero!|Вы можете открыть экран характеристик и умений, нажав «[input_talents]», чтобы распределить очки. У вас есть 12 дополнительных ячеек умений помимо левой и правой кнопки мыши. [tutorial_bind_skill] Назначение клавиш можно изменить в настройках! Удачи тебе, герой!
tutorial_0001_end|You will gain 4 Attribute Points and 1 Skill Point every time you level up to level 100!|Вы будете получать 4 очка характеристик и 1 очко умений за каждый уровень вплоть до 100-го!
tutorial_0002|I will drop you a key that you can pick up and check in your key ring inside your inventory. Then you can head north and open the golden chest by the well!|Я оставлю тебе ключ. Подбери его, и он окажется в связке ключей в твоем инвентаре. Затем ступай на север и открой золотой сундук у колодца!
tutorial_0002_end|You will get various keys along your way, each having a unique purpose! Good luck!|На своем пути ты найдешь множество ключей, и у каждого свое предназначение! Удачи!
tutorial_0003|Let’s enable autofilling potions into your belt!|Давайте включим автозаполнение пояса зельями!
tutorial_0003_end|You can now enable or disable this feature as you wish! Good luck!|Теперь вы можете включить или отключить эту функцию по своему желанию!
tutorial_0004|Jump by pressing ”[input_jump]”, your character will land on the location of your cursor.|Прыгайте, нажимая «[input_jump]». Персонаж приземлится там, где находится курсор.
tutorial_0004_end|Well done!|Отлично!
tutorial_0005|Scorchwood is a menace to our town. The corrupted ent is located north east from here, go make some firewood out of that beast!|Скорчвуд — угроза нашему городу. Оскверненный энт находится на северо-востоке отсюда. Ступай и пусти это чудовище на дрова!
tutorial_0005_end|Finally! Thank you stranger!|Свершилось! Благодарю тебя, незнакомец!
||
tutorial_0001_keyboard|In order to bind a skill, click on the right button skill slot, hover a skill you want to bind and press the skill button bind it.|Чтобы привязать умение, нажмите на слот правой кнопки мыши, наведите курсор на нужное умение и нажмите клавишу, которую хотите назначить.
tutorial_0001_gamepad|In order to bind a skill, press [input_skill_bind], select a skill slot you want to bind and press the skill button bind it.|Чтобы привязать умение, нажмите [input_skill_bind], выберите слот и нажмите кнопку умения для привязки.
||
||
heimdall0|Welcome to Bifröst! Choose your destination wisely..|Добро пожаловать в Биврёст! Выбирай пункт назначения с умом...
heimdall1|May the allfather be by your side!|Да пребудет с тобой Всеотец!
heimdall2|Heimdall sees all.|Хеймдалль видит всё.
heimdall3|I am Heimdall. A noble servant of the allfather and the guardian of Bifröst.|Я Хеймдалль. Верный слуга Всеотца и страж Биврёста.
heimdall4|From dusk till dawn may the divine light shine on you.|От заката до рассвета да озарит тебя божественный свет.
heimdall5|Let the allfather guide you towards your destiny.|Позволь Всеотцу направить тебя навстречу судьбе.
||
chaos_pillar_npc|Chaos Pillar|Столп Хаоса
chaos_pillar_text_common|Activate the pillar?|Активировать столп?
chaos_pillar_text|Activate the pillar using a [c_red]Chaos Key?[c_reset]|Активировать столп, используя [c_red]Ключ Хаоса?[c_reset]
black_market_npc_title|Shady Merchant|Теневой торговец
traveling_merchant|Traveling Merchant|Странствующий торговец
broker_npc_title|Broker|Маклер
landlord_npc_title_1|Mayor of Inoya|Мэр Иноя
landlord_npc_title_2|Clan Leader|Лидер клана
landlord_npc_title_3|Village Elder|Старейшина деревни
landlord_npc_title_4|Dwarven Council|Совет гномов
landlord_npc_title_5|Warlord|Военачальник
landlord_npc_title_6|Arch Bishop|Архиепископ
yogvan_npc_title|Dwarven Miner|Гном-шахтер
edward_npc_title|Hunter|Охотник
kirill_npc_title|Princess|Принцесса
mario_npc_title|Construction Worker|Строитель
bard_npc_name|Bard|Бард
christmas_letter_npc_name|Christmas Letter|Рождественское письмо
snowman_npc_name|Snowman|Снеговик
snowman_headless_npc_name|Headless Snowman|Безголовый снеговик
pumpkin_npc_name|Pumpkin|Тыква
skeleton_npc_name|Skeleton|Скелет
witch_npc_name|Witch|Ведьма
jack_the_ripper_npc_name|Jack the Ripper|Джек Потрошитель
corrupted_odin|Corrupted Odin|Оскверненный Один
bounty_board|Bounty Board|Доска розыска
bounty_board_hunt|Daily Hunt|Ежедневная охота
bounty_board_quest|View Daily Quest|Посмотреть ежедневное задание
kleiton_npc_title|Jewelcrafter|Ювелир
