[Video]|[en]|ru
options_desc_fullscreen|Switch to Fullscreen or Windowed|Переключение между полноэкранным и оконным режимом
options_desc_window_size|Size of the game window on Windowed|Размер окна игры в оконном режиме
options_desc_aspect_ratio|Aspect Ratio of the game|Соотношение сторон экрана
options_desc_vsync|Vertical sync synchronizes the refresh rate and frame rate of a monitor fixing screen tearing|Вертикальная синхронизация (VSync) устраняет разрывы изображения, синхронизируя частоту кадров с частотой обновления монитора
options_desc_framerate|Framerate determines how many frames per second your monitor draws improving the smoothness of the game. Additionally also due to game engine limitations this also determines how many times code is ran in the games step loop, this might cause slowdowns on lower end devices/hardware|Частота кадров (FPS) определяет плавность игры. Кроме того, из-за ограничений движка это также влияет на частоту выполнения кода; высокие значения могут вызвать замедление на слабых устройствах
options_desc_field_of_view|Field of View ingame. This determines how close or far the camera is zoomed to your player|Поле зрения (FOV). Определяет, насколько близко или далеко камера находится от персонажа
options_desc_outline|Enable/disable outline drawing|Включить/выключить обводку контуров
options_desc_show_experience|Enable/disable experience numbers shown in main HUD|Включить/выключить отображение чисел опыта в основном интерфейсе (HUD)
options_desc_show_fps|Enable/disable Frames Per Second shown in main HUD|Включить/выключить счетчик FPS в основном интерфейсе
options_desc_color_blind_mode|Enable/disable colorblindness correction filter|Включить/выключить фильтр для дальтоников
options_desc_font|Select an alternative text font|Выбрать альтернативный шрифт
options_desc_cursor_size|Size of the ingame mouse cursor|Размер курсора мыши в игре
options_desc_default|Set binds back to default values|Сбросить клавиши управления по умолчанию
||
console|Console|Консоль
brightness|Brightness|Яркость
contrast|Contrast|Контрастность
outlines|Outlines|Контуры
show_experience|Show Experience|Отображение опыта
show_fps|Show FPS|Показать FPS
combat_text_compress|Compress Combat Text|Сжать боевой текст
mobile_hold_delay|Inventory Hold Delay|Задержка удержания (Инвентарь)
player_projectile_opacity_self|Skill Opacity (Self)|Прозрачность умений (Вы)
player_projectile_opacity_other|Skill Opacity (Party)|Прозрачность умений (Группа)
protanopia|Protanopia|Протанопия
deuteranopia|Deuteranopia|Дейтеранопия
tritanopia|Tritanopia|Тританопия
cursor_size|Cursor Size|Размер курсора
use_all_flasks|Use All Unique Flasks|Использовать все уникальные зелья
options_font|Font|Шрифт
show_item_info|Show Item Information|Информация о предмете
color_highlight|Loot Filter Highlight Color|Цвет подсветки фильтра добычи
||
[Audio]||
options_desc_master_volume|The master volume of the game. All other volume sliders are relative to this one|Общая громкость игры. Влияет на все остальные настройки звука
options_desc_music_volume|The volume of music in the game|Громкость музыки
options_desc_ambient_volume|The volume of all ambient sounds of the game like wind and rain etc|Громкость звуков окружения (ветер, дождь и т.д.)
options_desc_sound_volume|The volume of all sound effects|Громкость звуковых эффектов
options_desc_loot_volume|The volume of all loot drops|Громкость звуков выпадения добычи
options_desc_hero_voice_volume|The volume of hero voice lines|Громкость голоса героя
||
[Gameplay]||
[Visual]||
health_bar_scale|Health Bar Scale|Масштаб полоски здоровья
show_enemy_hitbox|Show Enemy Attack Hitboxes|Показать хитбоксы атак врагов
center_dps_meter|Center DPS counter|Счетчик DPS по центру
center_boss_cooldowns|Center Boss Cooldowns|Перезарядка босса по центру
minimap_show_environment|Show Minimap Environment|Детали окружения на миникарте
minimap_turboperformance|Minimap Turbo Performance|Турбо-режим миникарты
show_enemy_affix|Show Monster Affixes|Показывать аффиксы монстров
minimap_show_monsters|Show Monsters in Minimap|Показывать монстров на миникарте
show_dot|Show Dot Combat Text|Показывать текст периодического урона
hover_tooltip|Hover Item Tooltip|Подсказка при наведении
options_desc_hover_tooltip|Enable/Disable hovering item name always shows tooltip|Включить/выключить постоянное отображение окна характеристик при наведении на название предмета
options_desc_show_player_name|Enable/disable showing the name of all players|Включить/выключить отображение имен всех игроков
options_desc_show_player_health|Enable/disable showing the life and mana bars of all players|Включить/выключить отображение полосок здоровья и маны всех игроков
options_desc_show_loot_names|Enable/disable showing the names of all loot on the ground|Включить/выключить отображение названий предметов на земле
options_desc_show_enemy_life|Enable/disable showing the life bar for enemies|Включить/выключить отображение полосок здоровья врагов
options_desc_show_enemy_hitbox|Enable/disable showing enemy attack hitboxes|Включить/выключить отображение зон поражения (хитбоксов) вражеских атак
options_desc_show_dps|Enable/disable the DPS counter tracking your damage dealt per second|Включить/выключить счетчик DPS (урон в секунду)
options_desc_show_boss_skill_cooldowns|Enable/disable cooldown counters for boss skills|Включить/выключить отображение перезарядки умений босса
options_desc_center_dps|Center the DPS counter position|Разместить счетчик DPS в центре экрана
options_desc_center_boss_skill_cooldowns|Center boss cooldown counter position|Разместить таймеры умений босса в центре экрана
options_desc_show_combat_text|Enable/disable floating combat text when taking or dealing damage|Включить/выключить всплывающий текст урона
options_desc_show_experience_gain|Enable/disable floating text for experience gain when killing enemies|Включить/выключить всплывающий текст получения опыта
options_desc_player_projectile_opacity_self|The opacity of your own skills and effects|Прозрачность Ваших собственных умений и эффектов
options_desc_player_projectile_opacity_other|The opacity of party member skills and effects|Прозрачность умений и эффектов членов группы
options_desc_minimap_show_environment|Show or Hide Environment objects such as trees and buildings in the minimap|Показать или скрыть объекты окружения (деревья, здания) на миникарте
options_desc_minimap_turboperformance|Turboperformance for minimap. Increases FPS but lowers map updating frequency|Турбо-режим миникарты. Повышает FPS, но снижает частоту обновления карты
options_desc_health_bar_scale|Change the size of your health bar|Изменить размер вашей полоски здоровья
options_desc_cross_platform|Enable/disable the ability to see and join game sessions hosted by users outside of the PlayStation™Network. When enabled, players on other platforms can participate in your game sessions as well|Включить/выключить кроссплатформенную игру. Если включено, вы сможете играть с пользователями других платформ
options_desc_use_all_flasks|Enable/Disable using all available unique flasks at the same time by using any one of them. This does not apply for common flasks|Включить/выключить одновременное использование всех уникальных зелий при активации любого из них. Не влияет на обычные зелья
options_desc_show_item_info|Always show the stat ranges and other information on items when hovering them|Всегда показывать диапазоны характеристик и подробную информацию о предметах при наведении
options_desc_show_enemy_affix|Always show monster affixes|Всегда отображать список аффиксов под полоской здоровья монстра
options_desc_minimap_show_monsters|Enable/Disable showing monsters in minimap (Disabling increases performance)|Включить/выключить отображение монстров на миникарте (Отключение повышает производительность)
options_desc_show_dot_text|Show/Hide damage over time combat text|Показать/Скрыть всплывающий текст периодического урона
||
[Minimap]||
minimap_object_icon_size|Minimap Object Size|Размер объектов миникарты
minimap_enemy_icon_size|Minimap Player/Enemy Size|Размер игроков/врагов
minimap_loot_icon_size|Minimap Loot Size|Размер добычи на миникарте
options_desc_minimap_object_icon_size|The size of objects like portals, NPC, mining nodes etc. in the minimap|Размер объектов (порталы, NPC, руда и т.д.) на миникарте
options_desc_minimap_enemy_icon_size|The size of Player and Enemies in the minimap|Размер иконок игрока и врагов на миникарте
options_desc_minimap_loot_icon_size|The size of Loot in the minimap|Размер иконок добычи на миникарте
options_desc_minimap_color|The color blend for the minimap|Цветовая гамма миникарты
options_desc_minimap_scale|The scale of your minimap|Масштаб миникарты
options_desc_minimap_opacity|The opacity of your minimap|Непрозрачность миникарты
||
[Online Chat]||
options_desc_general_chat|Enable/disable the General chat in the chat lobby as well as ingame|Включить/выключить Общий чат в лобби и в игре
options_desc_ingame_chat_notifications|Enable/disable notifications in the Ingame chat|Включить/выключить уведомления в игровом чате
options_desc_general_chat_notifications|Enable/disable notifications in the General chat|Включить/выключить уведомления в Общем чате
options_desc_trade_chat_notifications|Enable/disable notifications in the Trade chat|Включить/выключить уведомления в Торговом чате
options_desc_guild_chat_notifications|Enable/disable notifications in the Guild chat|Включить/выключить уведомления в чате Гильдии
options_desc_ingame_chat_fading|Enable/disable Ingame chat fading. This causes the chat window to fade away after a period of time. if disabled the chat will always show|Включить/выключить затухание чата. Если включено, окно чата исчезает через некоторое время. Если выключено — отображается всегда
options_desc_ingame_chat_fading_speed|How many seconds it takes before the chat starts to fade|Задержка в секундах перед исчезновением чата
options_desc_ingame_chat_background_opacity|How visible the Ingame chats background box is|Прозрачность фона окна чата
||
[Misc]||
options_desc_screen_shake|Enable/disable screen shake from any source like abilities or cinematic events will be enabled/disabled|Включить/выключить тряску экрана от умений и событий
options_desc_vibration|Enable/disable vibration when taking damage for an example|Включить/выключить вибрацию геймпада (например, при получении урона)
