[quest]|en|ru
||
[TUTORIAL]||
quest_name_1|Skills and Stats| Навыки и статистика
quest_description_1|Assign a Skill Point, Attribute Points and Bind an Active Skill.| Назначить очко навыка
quest_objective_1_1|Open Stat & Skill tree| Открыть дерево характеристик и навыков
quest_objective_1_2|Assign an Attribute Point| Назначить атрибутивную точку
quest_objective_1_3|Assign a Skill Point| Назначить очко навыка
quest_objective_1_4|Bind a Skill into a Skill Button| Привязать навык к кнопке навыка
||
quest_name_2|Keys and Chests| Ключи и сундуки
quest_description_2|Pick up the key, open your Inventory by pressing ”[input_inventory]” and navigate to your key ring. Then proceed towards north to open the Golden Chest by the well.| Подними ключ
quest_objective_2_1|Pick up the Key| Подними ключ
quest_objective_2_2|Open Key Ring in the Inventory| Открыть связку ключей в инвентаре
quest_objective_2_3|Open Chest by the well in north| Открытый сундук у колодца на севере
||
quest_name_3|Autofilling the belt| Автозаполнение ленты
quest_description_3|Pick up the belt and open your inventory, navigate to the potion tab and enable autofill potions. This will fill a new potion into your belt when one is used!| Поднимите пояс и откройте свой инвентарь.
quest_objective_3_1|Pickup Belt| Ремень для захвата
quest_objective_3_2|Enable Auto Fill in Inventory| Включить автоматическое заполнение инвентаря
||
quest_name_4|Bunny Hopping| Прыжки кролика
quest_description_4|Land on these indicators! Its easy! Just press ”[input_jump]” and your character will land on your cursors location!| Приземлитесь на эти указатели! Это просто! Просто нажмите «Пробел», и ваш персонаж приземлится на место, где находится ваш курсор!
quest_objective_4_1|Jumps performed| Прыжки выполнены
||
quest_name_5|Rotten and moldy firewood| Гнилые и заплесневелые дрова
quest_description_5|Make firewood out of that beast! The corrupted ent is located north east.| Из этого зверя дрова наделай! Оскверненный энт находится на северо-востоке.
quest_objective_5_1|Scorchwood Slain| Скорчвуд убит
||
quest_name_18|Learn to mine| Научитесь добывать
quest_description_18|Mine copper ore on normal difficulty.| Добывайте медную руду на обычном уровне сложности.
quest_objective_18_1|Copper Ore| Медная руда
||
quest_name_19|Chaos Tower| Башня Хаоса
quest_description_19|Solve the mystery of the Chaos Tower.| Разгадайте тайну Башни Хаоса.
quest_objective_19_1|Towers cleared| Башни очищены
quest_objective_19_2|King Rakhul slain| Король Рахул убит
quest_objective_19_3|Find Kukkonen| Найти Кукконена
||
quest_name_20|Learn Jewelcrafting| Изучите ювелирное дело
quest_description_20|Prospect copper ore| Разведка медной руды
quest_objective_20_1|Copper Ore prospected| Разведаны месторождения медной руды
||
quest_name_21|Fortune told| Судьба сказала
quest_description_21|Prophet Luna has shown you a glimpse into the future...[nl][c_heroic]([fortune_item_name])[c_reset][nl]Now the question is when?| Пророк Луна показала вам взгляд в будущее...[nl][c_heroic]([fortune_item_name])[c_reset][nl]Теперь вопрос в том, когда?
quest_objective_21_1|Fortune fulfilled| Удача сбылась
quest_objective_21_2|Enemies killed| Враги убиты
quest_objective_21_3|Vanaheim Entered|
||
[HALLOWEEN EVENT]||
quest_name_100|Trick or Treat!| Кошелек или жизнь!
quest_description_100|You must collect a lot of candy in Act 1. A. Lot.| В первом акте вам нужно собрать много конфет. А. Много.
quest_objective_100_1|Candy collected| Конфеты собраны
||
quest_name_101|Find the Candy Apples!| Найдите карамельные яблоки!
quest_description_101|Find a Candy Apple in each Act.| Найдите карамельное яблоко в каждом акте.
quest_objective_101_1|Act I Apple found| Акт I Яблоко найдено
quest_objective_101_2|Act II Apple found| Акт II Яблоко найдено
quest_objective_101_3|Act III Apple found| Акт III Яблоко найдено
quest_objective_101_4|Act IV Apple found| Акт IV Яблоко найдено
||
quest_name_102|Trick them all!| Обмани их всех!
quest_description_102|Use the Candy Basket to trick enemies.| Используйте Корзинку с конфетами, чтобы обмануть врагов.
quest_objective_102_1|Enemies lured into baskets| Враги заманены в корзины
||
quest_name_103|Death has the answer| У смерти есть ответ.
quest_description_103|Kill Candy Grim Reaper in Act II.| Убейте Кэнди Грим Рипер во втором акте.
quest_objective_103_1|Candy Grim Reaper killed| Кэнди Грим Рипер убит
||
quest_name_104|Kill the Pumpkin King| Убить Короля Тыквы
