|en|ru
talent_name_basicMovement|Movement|Движение
talent_desc_basicMovement|Move around without attacking.|Передвигайтесь, не атакуя.
talent_name_basicAttack|Attack|Атака
talent_desc_basicAttack|Basic Attack|Базовая атака
||
[Viking]
talent_name_weaponMaster|Weapon Master|Мастер оружия
talent_name_charge|Charge|Рывок
talent_name_devastatingCharge|Devastating Charge|Разрушительный рывок
talent_name_shieldMaster|Shield Master|Мастер щита
talent_name_stoneskin|Stoneskin|Каменная кожа
talent_name_norseResistance|Norse Resistance|Северное сопротивление
talent_name_defensiveShout|Defensive Shout|Защитный крик
talent_name_odinsFury|Odin's Fury|Ярость Одина
talent_name_battleAgility|Battle Agility|Боевая ловкость
talent_name_combatOrders|Combat Orders|Боевые приказы
talent_name_seismicSlam|Seismic Slam|Сейсмический удар
talent_name_bruteForce|Brute Force|Грубая сила
talent_name_zeal|Zeal|Рвение
talent_name_monsterThrow|Throw!|Бросок!
talent_name_ymirsChampion|Ymir's Champion|Чемпион Имира
talent_name_whirlwind|Whirlwind|Вихрь
talent_name_shockwave|Shockwave|Ударная волна
talent_name_berserk|Berserk|Берсерк
talent_name_demolishingWinds|Demolishing Winds|Разрушительные ветры
||
talent_desc_weaponMaster|Increases your attack damage and attack rating when you are using weapons without a shield.|Увеличивает урон от атак и рейтинг атаки при использовании оружия без щита.
talent_desc_charge|Charge forward dealing arcane damage and stunning monsters on impact.|Рывок вперед, наносящий урон тайной магией и оглушающий монстров при ударе.
talent_desc_devastatingCharge|When hitting monsters with Charge release a pulse dealing additional arcane damage and decreasing monster attack rating.|При ударе по монстрам «Рывком» высвобождается импульс, наносящий дополнительный урон тайной магией и снижающий рейтинг атаки монстров.
talent_desc_shieldMaster|Increases your attack damage and attack rating when using a Shield.|Увеличивает урон от атак и рейтинг атаки при использовании щита.
talent_desc_stoneskin|Increases your defense rating.|Повышает ваш показатель защиты.
talent_desc_norseResistance|Increases all of your resistances.|Повышает все ваши сопротивления.
talent_desc_defensiveShout|Powerful warcry which buffs your and your party members defense rating.|Мощный боевой клич, повышающий защиту вам и членам вашей группы.
talent_desc_odinsFury|Powerful warcry which deals arcane damage and stuns monsters around you.|Мощный боевой клич, наносящий урон тайной магией и оглушающий монстров вокруг вас.
talent_desc_battleAgility|Increases your movement speed.|Увеличивает скорость передвижения.
talent_desc_combatOrders|Powerful warcry which buffs your and your party members maximum life and mana.|Мощный боевой клич, увеличивающий максимальный запас здоровья и маны у вас и членов вашей группы.
talent_desc_seismicSlam|Smash monsters in front of you dealing damage and knocking them up and stunning them.|Ударьте монстров перед собой, нанося урон, подбрасывая их и оглушая.
talent_desc_bruteForce|Increases your chance of critical strike and critical strike damage.|Увеличивает шанс критического удара и урон от критического удара.
talent_desc_zeal|Strike three fast and powerful attacks with increased attack rating.|Наносит три быстрых и мощных удара с повышенным рейтингом атаки.
talent_desc_monsterThrow|Pick up and throw a monster which deals area of effect arcane damage and stuns monsters upon landing.|Поднимает и бросает монстра, нанося урон тайной магией по области и оглушая монстров при приземлении.
talent_desc_ymirsChampion|Perform a cold enhanced strike with additive cold damage, Increased attack damage and attack rating. Attacks also freeze monsters and summons a spinning axe that deals additional damage.|Наносит усиленный холодом удар с дополнительным уроном от холода, а также повышает урон и рейтинг атаки. Атаки замораживают монстров и призывают вращающийся топор, наносящий дополнительный урон.
talent_desc_whirlwind|Spin your weapons around you dealing damage to monsters struck.|Вращайте оружие вокруг себя, нанося урон пораженным монстрам.
talent_desc_shockwave|Smash the ground causing a shockwave that deals area of effect damage and stuns monsters.|Удар по земле, создающий ударную волну, которая наносит урон по области и оглушает монстров.
talent_desc_berserk|Every successful hit with berserk increases your attack damage, attack speed and movement speed for berserk stacking up to 8 times.|Каждое попадание «Берсерком» увеличивает урон, скорость атаки и скорость передвижения. Эффект суммируется до 8 раз.
talent_desc_demolishingWinds|Whirlwind now unleashes tornadoes dealing portion of the Whirlwinds damage to monsters struck.|«Вихрь» теперь выпускает торнадо, наносящие часть урона «Вихря» пораженным монстрам.
||
[Pyromancer]
talent_name_blazingTrail|Blazing Trail|Пылающий след
talent_name_fireEnchant|Fire Enchant|Огненные чары
talent_name_phoenixFlight|Phoenix Flight|Полет феникса
talent_name_infernoSlash|Inferno Slash|Разрез Инферно
talent_name_ignite|Ignite|Воспламенение
talent_name_fireShield|Fire Shield|Огненный щит
talent_name_searingChains|Searing Chains|Опаляющие цепи
talent_name_livingBomb|Living Bomb|Живая бомба
talent_name_fieryPresence|Fiery Presence|Огненное присутствие
talent_name_avatarOfFire|Avatar of Fire|Аватар огня
talent_name_fireBall|Fireball|Огненный шар
talent_name_breathOfFire|Breath of Fire|Дыхание огня
talent_name_meteor|Meteor|Метеор
talent_name_scorchingAura|Scorching Aura|Обжигающая аура
talent_name_hydra|Hydra|Гидра
talent_name_comet|Comet|Комета
talent_name_fireNova|Fire Nova|Огненная нова
talent_name_volcano|Volcano|Вулкан
talent_name_armageddon|Armageddon|Армагеддон
||
talent_desc_blazingTrail|Leave behind a trail of fire dealing fire damage to monsters.|Оставляет за собой огненный след, наносящий урон огнем монстрам.
talent_desc_fireEnchant|Enchant your attacks with additive fire damage inflicting burning on monsters. Your spells also apply a stack of Ignite.|Зачаровывает ваши атаки дополнительным уроном огнем, вызывающим горение у монстров. Ваши заклинания также накладывают эффект воспламенения.
talent_desc_phoenixFlight|Charge forward through the air dealing area of effect fire damage when landing.|Рывок вперед по воздуху, наносящий урон огнем по области при приземлении.
talent_desc_infernoSlash|Send forward a fire enchanted cleave attack dealing increased damage and additional fire damage.|Выпускает вперед огненную зачарованную рассекающую атаку, наносящую увеличенный урон и дополнительный урон огнем.
talent_desc_ignite|All fire enchanted attacks add a stack of ignite on the monster, causing them to combust at 10 stacks dealing area of effect fire damage.|Все зачарованные огнем атаки накладывают на монстра эффект воспламенения. При накоплении 10 эффектов монстр взрывается, нанося урон огнем по области.
talent_desc_fireShield|Cast a shield of fire that increases your damage reduction and deals fire damage to monsters around you.|Призывает огненный щит, который увеличивает поглощение урона и наносит урон огнем окружающим монстрам.
talent_desc_searingChains|When striking a monster unleash a powerful chain attack dealing increased damage, additional fire damage and stunning monsters struck.|При ударе по монстру вызывает мощную цепную атаку, наносящую увеличенный урон и дополнительный урон огнем, а также оглушающую пораженных монстров.
talent_desc_livingBomb|Throw a molten bomb which explodes and sticks a ticking bomb on the monsters dealing damage over time and finally exploding. monsters within explosion radius also get the debuff.|Бросает расплавленную бомбу, которая при взрыве прикрепляет к монстрам часовую бомбу, наносящую периодический урон и в итоге взрывающуюся. Монстры в радиусе взрыва также получают этот дебафф.
talent_desc_fieryPresence|Increases your fire skill damage.|Увеличивает урон ваших умений огня.
talent_desc_avatarOfFire|Temporarily turns you into an avatar of fire; Increasing your attack speed, fire resistance and attack rating.|Временно превращает вас в аватара огня, увеличивая скорость атаки, сопротивление огню и рейтинг атаки.
talent_desc_fireBall|Cast a fireball dealing fire damage to monsters.|Выпускает огненный шар, наносящий урон огнем монстрам.
talent_desc_breathOfFire|Breathe burning flames dealing fire damage and inflicting burning on hit.|Изрыгает пламя, наносящее урон огнем и вызывающее горение при попадании.
talent_desc_meteor|Cast a powerful meteor forwards dealing area of effect fire damage on impact.|Обрушивает впереди мощный метеор, наносящий урон огнем по области при ударе.
